Length	Count	sample
30	11182.0	RMNISTHS_30xdownsample
31	11182.0	RMNISTHS_30xdownsample
32	11182.0	RMNISTHS_30xdownsample
33	11182.0	RMNISTHS_30xdownsample
35	9382.0	RMNISTHS_30xdownsample
36	9382.0	RMNISTHS_30xdownsample
37	9382.0	RMNISTHS_30xdownsample
38	9382.0	RMNISTHS_30xdownsample
40	8116.0	RMNISTHS_30xdownsample
41	8116.0	RMNISTHS_30xdownsample
42	8116.0	RMNISTHS_30xdownsample
43	8116.0	RMNISTHS_30xdownsample
45	7193.0	RMNISTHS_30xdownsample
46	7193.0	RMNISTHS_30xdownsample
47	7193.0	RMNISTHS_30xdownsample
48	7193.0	RMNISTHS_30xdownsample
50	7053.0	RMNISTHS_30xdownsample
51	7053.0	RMNISTHS_30xdownsample
52	7053.0	RMNISTHS_30xdownsample
53	7053.0	RMNISTHS_30xdownsample
55	5661.0	RMNISTHS_30xdownsample
56	5661.0	RMNISTHS_30xdownsample
57	5661.0	RMNISTHS_30xdownsample
58	5661.0	RMNISTHS_30xdownsample
60	5521.0	RMNISTHS_30xdownsample
61	5521.0	RMNISTHS_30xdownsample
62	5521.0	RMNISTHS_30xdownsample
63	5521.0	RMNISTHS_30xdownsample
65	4935.0	RMNISTHS_30xdownsample
66	4935.0	RMNISTHS_30xdownsample
67	4935.0	RMNISTHS_30xdownsample
68	4935.0	RMNISTHS_30xdownsample
70	4515.0	RMNISTHS_30xdownsample
71	4515.0	RMNISTHS_30xdownsample
72	4515.0	RMNISTHS_30xdownsample
73	4515.0	RMNISTHS_30xdownsample
75	3589.0	RMNISTHS_30xdownsample
76	3589.0	RMNISTHS_30xdownsample
77	3589.0	RMNISTHS_30xdownsample
78	3589.0	RMNISTHS_30xdownsample
80	2307.0	RMNISTHS_30xdownsample
81	2307.0	RMNISTHS_30xdownsample
82	2307.0	RMNISTHS_30xdownsample
83	2307.0	RMNISTHS_30xdownsample
85	1865.0	RMNISTHS_30xdownsample
86	1865.0	RMNISTHS_30xdownsample
87	1865.0	RMNISTHS_30xdownsample
88	1865.0	RMNISTHS_30xdownsample
90	1270.0	RMNISTHS_30xdownsample
91	1270.0	RMNISTHS_30xdownsample
92	1270.0	RMNISTHS_30xdownsample
93	1270.0	RMNISTHS_30xdownsample
95	928.0	RMNISTHS_30xdownsample
96	928.0	RMNISTHS_30xdownsample
97	928.0	RMNISTHS_30xdownsample
98	928.0	RMNISTHS_30xdownsample
100	603.0	RMNISTHS_30xdownsample
101	603.0	RMNISTHS_30xdownsample
102	603.0	RMNISTHS_30xdownsample
103	603.0	RMNISTHS_30xdownsample
105	266.0	RMNISTHS_30xdownsample
106	266.0	RMNISTHS_30xdownsample
107	266.0	RMNISTHS_30xdownsample
108	266.0	RMNISTHS_30xdownsample
110	128.0	RMNISTHS_30xdownsample
111	128.0	RMNISTHS_30xdownsample
112	128.0	RMNISTHS_30xdownsample
113	128.0	RMNISTHS_30xdownsample
115	47.0	RMNISTHS_30xdownsample
116	47.0	RMNISTHS_30xdownsample
117	47.0	RMNISTHS_30xdownsample
118	47.0	RMNISTHS_30xdownsample
120	11.0	RMNISTHS_30xdownsample
121	11.0	RMNISTHS_30xdownsample
122	11.0	RMNISTHS_30xdownsample
123	11.0	RMNISTHS_30xdownsample
125	2.0	RMNISTHS_30xdownsample
126	2.0	RMNISTHS_30xdownsample
127	2.0	RMNISTHS_30xdownsample
128	2.0	RMNISTHS_30xdownsample
130	0.0	RMNISTHS_30xdownsample
131	0.0	RMNISTHS_30xdownsample
132	0.0	RMNISTHS_30xdownsample
133	0.0	RMNISTHS_30xdownsample
135	0.0	RMNISTHS_30xdownsample
136	0.0	RMNISTHS_30xdownsample
137	0.0	RMNISTHS_30xdownsample
138	0.0	RMNISTHS_30xdownsample
140	0.0	RMNISTHS_30xdownsample
141	0.0	RMNISTHS_30xdownsample
142	0.0	RMNISTHS_30xdownsample
143	0.0	RMNISTHS_30xdownsample
145	9957716.0	RMNISTHS_30xdownsample
146	9957716.0	RMNISTHS_30xdownsample
147	9957716.0	RMNISTHS_30xdownsample
148	9957716.0	RMNISTHS_30xdownsample
